ID,Traditional,Simplified,Pinyin,Meaning
F035,便條,便条,biàntiáo,
B00400,變通,变通,biàntōng,
B00401,變相,变相,biànxiāng,
A00300,編寫,编写,biānxiě,
A00318,變形,变形,biànxíng,
B00402,變性,变性,biànxìng,
B00375,邊沿,边沿,biānyán,
B00404,變樣,变样,biànyàng,
B00403,變壓器,变压器,biànyāqì,
A00319,變異,变异,biànyì,
B00411,便衣,便衣,biànyī,
B00392,貶義,贬义,biǎnyì,
A00322,便於,便于,biànyú,
A00296,邊緣,边缘,biānyuán,
F033,邊緣,边缘,biānyuán,
B00376,邊遠,边远,biānyuǎn,
B00383,編造,编造,biānzào,
B00384,編者,编者,biānzhě,
B00415,辨證,辨证,biànzhèng,
A00329,辯證,辩证,biànzhèng,
A00330,辯證法,辩证法,biànzhèngfǎ,
B00405,變質,变质,biànzhì,
B00393,貶值,贬值,biǎnzhí,
A00301,編制,编制,biānzhì,
B00385,編織,编织,biānzhī,
B00406,變種,变种,biànzhǒng,
B00386,編撰,编撰,biānzhuàn,
B00420,辮子,辫子,biànzi,
F037,辮子,辫子,biànzi,
Q028,辮子,辫子,biànzi,
A00304,鞭子,鞭子,biānzi,
F034,鞭子,鞭子,biānzi,
Q026,鞭子,鞭子,biānzi,
B00387,編纂,编纂,biānzuǎn,
A00341,表／錶,表,biǎo,
A00332,標,标,biāo,
B00431,膘,膘,biāo,
B00432,表白,表白,biǎobái,
B00421,標榜,标榜,biāobǎng,
A00333,標本,标本,biāoběn,
